eei_id,exon1,exon2,p_value,chi2_statistic,odds_ratio,cachexic_with_eei,cachexic_without_eei,control_with_eei,control_without_eei,total_samples,corrected_p,significant
ENSMUSE00000661399_ENSMUSE00001245114,ENSMUSE00000661399,ENSMUSE00001245114,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00000661399_ENSMUSE00000162380,ENSMUSE00000661399,ENSMUSE00000162380,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00000661399_ENSMUSE00000253746,ENSMUSE00000661399,ENSMUSE00000253746,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00000661398_ENSMUSE00000214461,ENSMUSE00000661398,ENSMUSE00000214461,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00000661398_ENSMUSE00000214457,ENSMUSE00000661398,ENSMUSE00000214457,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00000661398_ENSMUSE00000214463,ENSMUSE00000661398,ENSMUSE00000214463,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00000661398_ENSMUSE00000225660,ENSMUSE00000661398,ENSMUSE00000225660,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00000661398_ENSMUSE00000413165,ENSMUSE00000661398,ENSMUSE00000413165,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00000661398_ENSMUSE00001257237,ENSMUSE00000661398,ENSMUSE00001257237,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00000661398_ENSMUSE00001236037,ENSMUSE00000661398,ENSMUSE00001236037,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00000661398_ENSMUSE00001245114,ENSMUSE00000661398,ENSMUSE00001245114,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00000661398_ENSMUSE00000162380,ENSMUSE00000661398,ENSMUSE00000162380,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00000661398_ENSMUSE00000253746,ENSMUSE00000661398,ENSMUSE00000253746,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00001217184_ENSMUSE00000214461,ENSMUSE00001217184,ENSMUSE00000214461,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00001217184_ENSMUSE00000214457,ENSMUSE00001217184,ENSMUSE00000214457,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00001217184_ENSMUSE00000214463,ENSMUSE00001217184,ENSMUSE00000214463,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00001217184_ENSMUSE00000225660,ENSMUSE00001217184,ENSMUSE00000225660,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00001217184_ENSMUSE00000413165,ENSMUSE00001217184,ENSMUSE00000413165,1.0,0.0,1.0476190476190477,2,7,3,11,23,1.0,False
ENSMUSE00001217184_ENSMUSE00001257237,ENSMUSE00001217184,ENSMUSE00001257237,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00001217184_ENSMUSE00001236037,ENSMUSE00001217184,ENSMUSE00001236037,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
ENSMUSE00001217184_ENSMUSE00001245114,ENSMUSE00001217184,ENSMUSE00001245114,0.824282305166684,0.04930201247165533,0.5142857142857142,2,7,5,9,23,1.0,False
