ENSE00001742922,ENSE00000860087
ENSE00001742922,ENSE00003640336
ENSE00003671203,ENSE00003708122
ENSE00003671203,ENSE00003707053
ENSE00003671203,ENSE00003556550
ENSE00002498218,ENSE00001446224
ENSE00003487276,ENSE00000666989
ENSE00003487276,ENSE00000863184
ENSE00003487276,ENSE00003644420
ENSE00001109935,ENSE00000863184
ENSE00000932971,ENSE00003461155
ENSE00003474642,ENSE00001760117
ENSE00003474642,ENSE00003620949
ENSE00003474642,ENSE00003562900
ENSE00003698914,ENSE00001092882
ENSE00003698914,ENSE00003551972
ENSE00003698914,ENSE00003474642
ENSE00003696138,ENSE00001092882
ENSE00003696138,ENSE00003551972
ENSE00003696138,ENSE00003474642
ENSE00001109302,ENSE00001092882
ENSE00001109302,ENSE00003551972
ENSE00001109302,ENSE00003474642
ENSE00001865473,ENSE00001455516
ENSE00000806194,ENSE00003614956
ENSE00000806194,ENSE00003577347
ENSE00000806194,ENSE00003517533
ENSE00000806194,ENSE00003677592
ENSE00003667407,ENSE00003551972
ENSE00003667407,ENSE00003250822
ENSE00003667407,ENSE00003443109
ENSE00000827773,ENSE00003492005
ENSE00000827773,ENSE00001138070
ENSE00001164362,ENSE00003629022
ENSE00003625649,ENSE00001141032
ENSE00003477403,ENSE00002133514
ENSE00003460965,ENSE00001054508
ENSE00001093727,ENSE00001532206
ENSE00001093727,ENSE00003673177
ENSE00001093727,ENSE00001816188
ENSE00000806190,ENSE00000663646
ENSE00000806190,ENSE00000663647
ENSE00003470434,ENSE00003663345
ENSE00003470434,ENSE00003585560
ENSE00003470434,ENSE00001158811
ENSE00003470434,ENSE00000932076
ENSE00001200827,ENSE00003629022
ENSE00003669119,ENSE00001325964
ENSE00003668352,ENSE00003555156
ENSE00002722173,ENSE00003623696
ENSE00000968471,ENSE00003828814
ENSE00002097336,ENSE00002389794
ENSE00002097336,ENSE00000843720
ENSE00002097336,ENSE00000786362
ENSE00002097336,ENSE00001381368
ENSE00002097336,ENSE00001100234
ENSE00000806192,ENSE00003658310
ENSE00000806192,ENSE00003614956
ENSE00000806192,ENSE00003577347
ENSE00000806192,ENSE00003517533
ENSE00000806192,ENSE00003677592
ENSE00003471988,ENSE00001249150
ENSE00003676464,ENSE00001670851
ENSE00003676464,ENSE00003578323
ENSE00001137497,ENSE00003676464
ENSE00001316245,ENSE00003513798
ENSE00003642914,ENSE00003550410
ENSE00003642914,ENSE00003553527
ENSE00003642914,ENSE00001232406
ENSE00003642914,ENSE00003516723
ENSE00001485271,ENSE00003498310
ENSE00001485271,ENSE00003465513
ENSE00001485271,ENSE00003591656
ENSE00001485271,ENSE00003544242
ENSE00000806182,ENSE00003658310
ENSE00000806182,ENSE00003614956
ENSE00000806182,ENSE00003577347
ENSE00000806182,ENSE00003517533
ENSE00000806182,ENSE00003677592
ENSE00001720340,ENSE00001364027
ENSE00001720340,ENSE00001389810
ENSE00001720340,ENSE00001370421
ENSE00001720340,ENSE00003470434
ENSE00002560508,ENSE00003657914
ENSE00002560508,ENSE00000859180
ENSE00000666056,ENSE00001479865
ENSE00000666056,ENSE00001364027
ENSE00000666056,ENSE00001389810
ENSE00000666056,ENSE00001370421
ENSE00000666056,ENSE00003470434
ENSE00000666058,ENSE00001479865
ENSE00000666058,ENSE00001364027
ENSE00000666058,ENSE00001389810
ENSE00000666058,ENSE00001370421
ENSE00000666058,ENSE00003470434
ENSE00003681498,ENSE00003553527
ENSE00003681498,ENSE00001232406
ENSE00003688578,ENSE00001400657
ENSE00003547708,ENSE00001443487
ENSE00003547708,ENSE00003926993
ENSE00003469206,ENSE00003547708
ENSE00003458629,ENSE00003690053
ENSE00003458629,ENSE00003581567
ENSE00003458629,ENSE00003547708
ENSE00003694078,ENSE00003690053
ENSE00003694078,ENSE00003581567
ENSE00003694078,ENSE00003547708
ENSE00003610408,ENSE00001094602
ENSE00003610408,ENSE00001094605
ENSE00003551768,ENSE00001094602
ENSE00003551768,ENSE00001094605
ENSE00003483389,ENSE00001157702
ENSE00003651970,ENSE00003483389
ENSE00003656407,ENSE00003621347
ENSE00003586623,ENSE00003621347
ENSE00001457923,ENSE00003621347
ENSE00003554024,ENSE00003647183
